order_id,customer_id,product_id,order_date,quantity,unit_price,discount_pct,tax_pct
ORD-01449,CUST-0051,PROD-0038,2023-03-15,4,1138.19,0.01,0.14
ORD-03787,CUST-0346,PROD-0046,2023-10-28,6,1011.6,0.05,0.12
ORD-02099,CUST-0234,PROD-0065,2023-09-22,6,489.44,0.18,0.06
ORD-01232,CUST-0370,PROD-0003,2024-10-04,10,666.07,0.18,0.05
ORD-00550,CUST-0460,PROD-0035,2024-06-11,4,1508.82,0.23,0.08
ORD-03414,CUST-0458,PROD-0085,2023-01-29,10,1922.27,0.07,0.06
ORD-01667,CUST-0495,PROD-0050,2024-07-26,9,1172.4,0.23,0.07
ORD-01498,CUST-0349,PROD-0074,2024-08-29,4,1247.31,0.08,0.14
ORD-02069,CUST-0223,PROD-0056,2023-03-29,5,1573.18,0.22,0.11
ORD-04379,CUST-0305,PROD-0011,2023-04-17,2,1025.11,0.04,0.1
ORD-03605,CUST-0310,PROD-0098,2024-07-20,10,1626.22,0.28,0.13
ORD-04573,CUST-0365,PROD-0058,2023-06-29,4,286.28,0.22,0.09
ORD-04713,CUST-0258,PROD-0098,2024-01-12,2,1423.24,0.03,0.14
ORD-00382,CUST-0167,PROD-0062,2023-03-30,7,1142.44,0.07,0.06
ORD-01309,CUST-0218,PROD-0069,2024-02-08,9,1943.82,0.03,0.07
ORD-04413,CUST-0021,PROD-0036,2024-05-03,5,1423.88,0.23,0.08
ORD-00117,CUST-0202,PROD-0010,2023-01-28,2,1165.73,0.15,0.11
ORD-04672,CUST-0012,PROD-0019,2024-12-24,9,636.65,0.22,0.05
ORD-00955,CUST-0165,PROD-0028,2023-04-02,1,371.69,0.0,0.12
ORD-00300,CUST-0130,PROD-0040,2023-05-29,9,970.11,0.11,0.11
ORD-04220,CUST-0234,PROD-0018,2023-07-02,5,912.84,0.1,0.06
ORD-02197,CUST-0109,PROD-0094,2024-09-17,2,562.07,0.15,0.08
ORD-01615,CUST-0451,PROD-0015,2024-02-20,4,1651.12,0.12,0.13
ORD-02497,CUST-0023,PROD-0007,2023-01-13,10,1694.28,0.04,0.09
ORD-01769,CUST-0245,PROD-0006,2023-07-09,2,1898.48,0.18,0.06
ORD-04894,CUST-0193,PROD-0010,2023-05-06,5,839.58,0.03,0.08
ORD-04236,CUST-0241,PROD-0012,2024-11-03,4,1841.65,0.19,0.11
ORD-00830,CUST-0088,PROD-0003,2024-04-30,8,289.11,0.25,0.13
ORD-00367,CUST-0428,PROD-0017,2024-09-21,6,229.82,0.16,0.06
ORD-04384,CUST-0028,PROD-0005,2023-08-13,2,503.21,0.12,0.11
ORD-02215,CUST-0425,PROD-0095,2023-08-12,5,440.72,0.12,0.06
ORD-03267,CUST-0430,PROD-0042,2023-04-29,1,646.64,0.25,0.06
ORD-01527,CUST-0028,PROD-0043,2024-03-08,2,180.64,0.0,0.14
ORD-02046,CUST-0478,PROD-0046,2023-06-18,3,1126.06,0.03,0.06
ORD-02332,CUST-0149,PROD-0020,2024-11-01,9,914.26,0.05,0.09
ORD-02139,CUST-0313,PROD-0023,2024-12-21,1,192.02,0.17,0.15
ORD-03392,CUST-0336,PROD-0089,2024-04-14,1,1139.77,0.16,0.08
ORD-01093,CUST-0382,PROD-0015,2024-04-20,10,1300.28,0.04,0.14
ORD-00514,CUST-0330,PROD-0040,2023-08-10,10,484.59,0.12,0.13
ORD-01274,CUST-0050,PROD-0070,2023-06-17,2,121.54,0.19,0.06
ORD-01669,CUST-0089,PROD-0029,2023-11-16,7,449.74,1.7,0.07
